goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/waste-hunt/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkServeFilesCopy/shallow-copy-16                     	 4830648	       245.4 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16                     	 4837556	       246.1 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16                     	 4887946	       250.1 ns/op	     848 B/op	       3 allocs/op
BenchmarkCleanPathChanged/current-16                        	 1439098	       830.7 ns/op	    1400 B/op	       7 allocs/op
BenchmarkCleanPathChanged/current-16                        	 1438482	       836.9 ns/op	    1400 B/op	       7 allocs/op
BenchmarkCleanPathChanged/current-16                        	 1440333	       832.2 ns/op	    1400 B/op	       7 allocs/op
BenchmarkCleanPathChanged/current-16                        	 1441534	       828.8 ns/op	    1400 B/op	       7 allocs/op
BenchmarkCleanPathChanged/current-16                        	 1440328	       829.7 ns/op	    1400 B/op	       7 allocs/op
BenchmarkCleanPathChanged/current-16                        	 1440476	       835.5 ns/op	    1400 B/op	       7 allocs/op
BenchmarkCleanPathChanged/current-16                        	 1451156	       832.1 ns/op	    1400 B/op	       7 allocs/op
BenchmarkCleanPathChanged/current-16                        	 1436287	       829.0 ns/op	    1400 B/op	       7 allocs/op
BenchmarkCleanPathChanged/current-16                        	 1429384	       828.1 ns/op	    1400 B/op	       7 allocs/op
BenchmarkCleanPathChanged/current-16                        	 1446480	       822.3 ns/op	    1400 B/op	       7 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16                   	 8834139	       137.7 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16                   	 8561254	       138.3 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16                   	 8645821	       138.5 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16                   	 8007718	       151.9 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16                   	 8193247	       144.2 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16                   	 8844882	       139.5 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16                   	 8572312	       139.8 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16                   	 8630526	       137.2 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16                   	 8588480	       139.8 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16                   	 8507974	       136.7 ns/op	     464 B/op	       2 allocs/op
BenchmarkCompress/small-600B/current-16                     	 2931691	       404.3 ns/op	     752 B/op	       4 allocs/op
BenchmarkCompress/small-600B/current-16                     	 2958272	       401.7 ns/op	     752 B/op	       4 allocs/op
BenchmarkCompress/small-600B/current-16                     	 2974497	       403.4 ns/op	     752 B/op	       4 allocs/op
BenchmarkCompress/small-600B/current-16                     	 2942260	       402.3 ns/op	     752 B/op	       4 allocs/op
BenchmarkCompress/small-600B/current-16                     	 2993030	       405.6 ns/op	     752 B/op	       4 allocs/op
BenchmarkCompress/small-600B/current-16                     	 2972432	       405.4 ns/op	     752 B/op	       4 allocs/op
BenchmarkCompress/small-600B/current-16                     	 2949110	       405.7 ns/op	     752 B/op	       4 allocs/op
BenchmarkCompress/small-600B/current-16                     	 2973475	       404.1 ns/op	     752 B/op	       4 allocs/op
BenchmarkCompress/small-600B/current-16                     	 2972205	       404.3 ns/op	     752 B/op	       4 allocs/op
BenchmarkCompress/small-600B/current-16                     	 2974634	       400.6 ns/op	     752 B/op	       4 allocs/op
BenchmarkCompress/small-600B/alternative-16                 	 3654135	       328.3 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B/alternative-16                 	 3626690	       328.6 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B/alternative-16                 	 3662280	       327.4 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B/alternative-16                 	 3671571	       328.4 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B/alternative-16                 	 3632546	       328.1 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B/alternative-16                 	 3656419	       328.0 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B/alternative-16                 	 3636841	       328.5 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B/alternative-16                 	 3630187	       328.1 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B/alternative-16                 	 3652513	       328.6 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B/alternative-16                 	 3635270	       327.4 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/chunked-12KiB/current-16                  	   69969	     17359 ns/op	   43521 B/op	      16 allocs/op
BenchmarkCompress/chunked-12KiB/current-16                  	   67736	     18011 ns/op	   44459 B/op	      16 allocs/op
BenchmarkCompress/chunked-12KiB/current-16                  	   68487	     17591 ns/op	   44254 B/op	      16 allocs/op
BenchmarkCompress/chunked-12KiB/current-16                  	   67092	     17771 ns/op	   44300 B/op	      16 allocs/op
BenchmarkCompress/chunked-12KiB/current-16                  	   65607	     18314 ns/op	   44363 B/op	      16 allocs/op
BenchmarkCompress/chunked-12KiB/current-16                  	   64755	     17766 ns/op	   44028 B/op	      16 allocs/op
BenchmarkCompress/chunked-12KiB/current-16                  	   68017	     17742 ns/op	   44045 B/op	      16 allocs/op
BenchmarkCompress/chunked-12KiB/current-16                  	   67921	     17606 ns/op	   44239 B/op	      16 allocs/op
BenchmarkCompress/chunked-12KiB/current-16                  	   67932	     17470 ns/op	   43973 B/op	      16 allocs/op
BenchmarkCompress/chunked-12KiB/current-16                  	   69998	     17647 ns/op	   44505 B/op	      16 allocs/op
BenchmarkCompress/chunked-12KiB/alternative-16              	  150510	      7944 ns/op	      53 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB/alternative-16              	  153645	      7892 ns/op	      64 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB/alternative-16              	  151438	      8018 ns/op	      58 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB/alternative-16              	  153406	      7919 ns/op	      53 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB/alternative-16              	  150306	      7911 ns/op	      53 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB/alternative-16              	  151441	      7850 ns/op	      58 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB/alternative-16              	  151402	      7859 ns/op	      58 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB/alternative-16              	  154124	      7910 ns/op	      53 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB/alternative-16              	  153376	      7858 ns/op	      53 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB/alternative-16              	  153092	      7849 ns/op	      53 B/op	       3 allocs/op
BenchmarkFileServe/no-logger/small.css-16                   	    8157	    136350 ns/op	    9438 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/small.css-16                   	    9075	    135945 ns/op	    9388 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/small.css-16                   	    8901	    135300 ns/op	    9376 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/small.css-16                   	    8528	    135630 ns/op	    9458 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/small.css-16                   	    8875	    136564 ns/op	    9451 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/small.css-16                   	    8611	    135035 ns/op	    9420 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/small.css-16                   	    8798	    135371 ns/op	    9395 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/small.css-16                   	    8604	    135110 ns/op	    9458 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/small.css-16                   	    8611	    135130 ns/op	    9468 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/small.css-16                   	    8889	    135427 ns/op	    9373 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/16k.js-16                      	    8546	    141389 ns/op	    9382 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/16k.js-16                      	    8136	    141178 ns/op	    9368 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/16k.js-16                      	    8377	    141320 ns/op	    9438 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/16k.js-16                      	    8340	    140420 ns/op	    9351 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/16k.js-16                      	    8460	    140576 ns/op	    9348 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/16k.js-16                      	    8372	    141086 ns/op	    9421 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/16k.js-16                      	    8374	    141021 ns/op	    9433 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/16k.js-16                      	    8316	    141059 ns/op	    9425 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/16k.js-16                      	    8695	    140028 ns/op	    9379 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/16k.js-16                      	    8216	    141205 ns/op	    9401 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/128k.js-16                     	    6234	    185748 ns/op	    9422 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/128k.js-16                     	    6319	    184929 ns/op	    9450 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/128k.js-16                     	    6591	    182912 ns/op	    9430 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/128k.js-16                     	    6535	    183722 ns/op	    9401 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/128k.js-16                     	    6500	    183364 ns/op	    9432 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/128k.js-16                     	    6544	    183552 ns/op	    9408 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/128k.js-16                     	    6394	    184374 ns/op	    9397 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/128k.js-16                     	    6519	    183909 ns/op	    9423 B/op	     103 allocs/op
BenchmarkFileServe/no-logger/128k.js-16                     	    6385	    184265 ns/op	    9443 B/op	     103 allocs/op
