goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-audit-2026-05-12
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkMiddleware_CleanPath_Clean-16           	58565101	        20.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	58855998	        20.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	58750140	        20.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	59587762	        20.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 5134910	       233.2 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 4906172	       239.0 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 5040133	       245.6 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 5211728	       229.4 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 4865942	       234.5 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 5079184	       232.7 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 5618766	       215.7 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 5440573	       213.7 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 5451790	       218.7 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 5435001	       216.0 ns/op	     504 B/op	       4 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	41842587	        28.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	42209974	        28.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	41851760	        28.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	41739211	        28.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	40282027	        28.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	41871340	        28.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	41757978	        28.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	41848701	        28.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	42246715	        28.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	41646840	        28.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 4387158	       290.0 ns/op	      96 B/op	       0 allocs/op
