goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-audit-2026-05-12
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5194809	       232.3 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5082607	       234.5 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5079661	       233.6 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5244422	       233.5 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5150089	       232.9 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5129527	       230.6 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 4832454	       248.8 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 4562646	       247.3 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 4764116	       245.8 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 4918474	       247.0 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 4859584	       244.8 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 4873837	       244.2 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 4871491	       243.3 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 4798572	       245.9 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 4872777	       245.0 ns/op	     512 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 4872723	       246.5 ns/op	     512 B/op	       3 allocs/op
2026/09/25 14:13:30 WARN JWTAuth: RequireExpiry=false — tokens without an "exp" claim are accepted. RFC 8725 §4.4 recommends RequireExpiry=true so that tokens cannot be replayed indefinitely.
BenchmarkMiddleware_JWTAuth_HS256_Hit-16         	2026/09/25 14:13:30 WARN JWTAuth: RequireExpiry=false — tokens without an "exp" claim are accepted. RFC 8725 §4.4 recommends RequireExpiry=true so that tokens cannot be replayed indefinitely.
